0,1,2
932150227062140928,2017-11-19 07:35:07,"Shocking! Puppet of NS, PM Abbasi, can't remove FM Dar the Sharif mafia's front man &amp; absconder from justice facing… https://t.co/3qlCCXEffS"
931867121184886789,2017-11-18 12:50:09,Unfortunate that pol opponents aided by some in media are seeking to misrepresent facts for their own desperate pol… https://t.co/67Af6k6N0j
931865547700166661,2017-11-18 12:43:54,"2. FIR, copy below, was registered on 27 Oct - day crime committed. 7 of the 9 accused identified in FIR by victim'… https://t.co/Vh20QC83yW"
931864590127960064,2017-11-18 12:40:06,1. It is shameful how segments of the media &amp; some politicians are exploiting a condemnable crime against a young w… https://t.co/3oQrLiekJr
931442768098004992,2017-11-17 08:43:55,The top 10 achievements of #BillionTreeTsunami https://t.co/QZkjwAaMcv
931055782619213824,2017-11-16 07:06:11,Visited the site of the ancient Buddhist archaeological find by KP govt https://t.co/aZXfGPS5uy https://t.co/uAhef0h2AM
930736431022174208,2017-11-15 09:57:12,The Royal Sharif Mafia is trying to steer their trial through VIP-style diversionary tactics based on technicalitie… https://t.co/EXdoBgP0Nz
930498438604652544,2017-11-14 18:11:30,Congratulations to iGEM Peshawar for winning silver medal in International Genetically Engineered Machine Competiti… https://t.co/W3dAEesLRt
930457154611564545,2017-11-14 15:27:27,PTI has a 4-Point enviroment protection policy for KP: 1- Reserve Forests; 2 - Eco Tourism with locals given respon… https://t.co/rVpDDJb75l
930455921838428160,2017-11-14 15:22:33,Congratulations to KP on its Billion Tree Tsunami celebrations #GreenPakistanBeginsWithKP. Only way to tackle globa… https://t.co/nPY3DAkYOL
930063287877763072,2017-11-13 13:22:22,Zia's protégé lecturing PTI on democracy! Signs of Qiamat. https://t.co/ukeFZUzKv6
929681306295906305,2017-11-12 12:04:30,"My most satisfying experience of the 5th Namal Univ convocation was the result. Of the degrees, 53% got 1st class f… https://t.co/ob5SEahqei"
929409663996657664,2017-11-11 18:05:06,"Shocking &amp; condemnable behaviour by PMLN - after losing NA 4 bye- election, trying to remove transformers provided… https://t.co/tod6nbDFVY"
929362526416113666,2017-11-11 14:57:47,Bad news for the corrupt status quo! Taunsa today and again a massive junooni crowd. Rural Pakistan has woken up to… https://t.co/2YsKcMEjbm
928871481827786752,2017-11-10 06:26:33,"With economic disaster looming and a complete paralysis of governance, Pak needs early elections to save and streng… https://t.co/5FasP557T1"
928871105212895232,2017-11-10 06:25:03,"The WB Report projected that Pakistan will miss all key macro indicators' targets set for this fiscal year, notably… https://t.co/uoAsxJ4bCn"
928870871082598405,2017-11-10 06:24:07,"The World Bank, in a highly critical report, exposed the econ disaster created by PMLN. The Report warned that Pak'… https://t.co/30spf4On9u"
928648699303079936,2017-11-09 15:41:18,"Another outstanding police officer, Hamid Shakeel, martyred today in the condemnable Quetta blast. Prayers go to al… https://t.co/ysOBJfRnVG"
928621079433826306,2017-11-09 13:51:32,Shameful how PMLN trying all rules to prevent probe on illegal Dubai property purchases by Pakistanis https://t.co/UZpzNrMQFH
928268419597824000,2017-11-08 14:30:12,Chitral today: From north to south in Pakistan people are ready to bury the corrupt status quo for ever and build a… https://t.co/YhztkieoZE
928163597951348736,2017-11-08 07:33:40,Nawaz attacking &amp; seeking to destroy state institutions simply to try &amp; save his billions in loot plundered from na… https://t.co/zn1JyLHrZj
928163116772478976,2017-11-08 07:31:46,Nawaz Sharif should be ashamed of himself for openly attacking SC judges simply because they exposed his ill-gotten money &amp; corruption.
927917776127348738,2017-11-07 15:16:52,"In this SC detailed judgement, Nawaz now has a definitive answer to his constant cry of ""mujhe kyun nikala."" https://t.co/jtoYKvjN4o"
927917275667206149,2017-11-07 15:14:53,Since Maryam did not have resources to purchase flats in 1993 it is evident NS bought these flats with money stolen… https://t.co/V4sNZjL0XL
927916812515364865,2017-11-07 15:13:02,But the judgement states you can't fool all the people all the time. Maryam's beneficial ownership of Mayfair flats… https://t.co/nZqxgWf4ek
927916324717723654,2017-11-07 15:11:06,"SC detailed judgement on NS Review petition's rejection has clearly stated Nawaz tried to fool parliament, the court &amp; the people"
927567947744317441,2017-11-06 16:06:46,Another junooni crowd in Attock today. 5 massive shows of people's support for PTI's agenda of a corruption-free Pa… https://t.co/cHbjvZILbd
927438658017271808,2017-11-06 07:33:01,Condemn the killing of 2 policemen in shootout at police check post in Mardan. Condolences &amp; prayers go to their families.
927195640500801538,2017-11-05 15:27:21,"Ppl full of junoon at Obaro, Sindh today &amp; all committed to supporting our movement ag any legislation now done to… https://t.co/5lJ7twv12p"
926854479462400000,2017-11-04 16:51:42,3rd jalsa in a row in S Punjab where massive crowds turned up to show support against corrupt status quo. Record cr… https://t.co/wMGLaAmJdg
926455105607667712,2017-11-03 14:24:44,Junoon in Kot Adu today in rural S Punjab. PTI's strength in Punjab is across rural &amp; urban areas. Everywhere ppl a… https://t.co/KGswKDQonE
926102034360799234,2017-11-02 15:01:45,Saddened to learn of the death of our Quaid's daughter Dina Wadia. May her soul rest in peace.
925957107081515008,2017-11-02 05:25:52,Shocking how PMLN govt by providing official protocol to NS is glamourising criminal financial corruption by the Sh… https://t.co/vRtUtZhLxv
925947707721703424,2017-11-02 04:48:31,"PM Abbasi showing complicity in helping NS save his ill-gotten, money laundered Rs 300 bn stashed abroad as he face… https://t.co/3Xi4Ncbkff"
925947262525759488,2017-11-02 04:46:45,How can PM Abbasi sanction this protocol/Punjab House stay at tax payer expense for a man charged with corruption o… https://t.co/FvPSQ7WzGG
925946146102628353,2017-11-02 04:42:19,"Absolutely shameful how a discredited PM, facing a host of financial corruption charges, is given official protocol at tax payer expense"
925636809358479361,2017-11-01 08:13:07,I commend the KP police for taking action swiftly. https://t.co/EA2mU7zvAz
925595622325084160,2017-11-01 05:29:27,https://t.co/qFU3XSR8Uk This exposes PMLN's bogus claims of bringing improvements in investment climate &amp; shows why investments falling.
925352554741075969,2017-10-31 13:23:35,"Given the complete paralysis in governance, PTI will oppose any legislation aimed at delaying General Elections."
925309503905632256,2017-10-31 10:32:31,Saddened by unfortunate death of Khurram Naeem(PTI UK) in swimming accident in Australia. He was a diehard PTI mbr. May Allah bless his soul
925250766843121664,2017-10-31 06:39:07,PM Abbasi rapidly reducing Pak to banana republic. He is playing poodle to a discredited NS &amp; retaining fugitive from justice as Finance Min
925249881954045952,2017-10-31 06:35:36,NS has no concern how much damage he does to the nation to save his ill-gotten Rs 300 bn stashed outside Pak. https://t.co/UZ9oMU4yWv
925249412229713925,2017-10-31 06:33:44,He is desperate for NRO to avoid conviction on money laundering &amp; save his Rs 300 bn stashed abroad from being froz… https://t.co/OuQbkjrmel
925248665085710337,2017-10-31 06:30:46,"London Game Plan obvious now: Nawaz will retain control of Party &amp; use it to malign NAB, Judiciary &amp; mly to pressure them for another NRO"
924936144399273984,2017-10-30 09:48:55,Phase 2 ongoing - building a team &amp; party that will sweep elections. Phase 3 InshaAllah will be PTI coming to power… https://t.co/QPNco4whKR
924934913899548678,2017-10-30 09:44:02,30th Oct 2011: After 15 yrs of my struggle ppl of Pak awakened to my call for Naya Pak. That concluded Phase One of… https://t.co/WLXxx69qT0
924672477695021056,2017-10-29 16:21:12,"Mandi Bahauddin was a record breaking jalsa with amazing junoon, showing people are all ready for elections. https://t.co/EusO840jMw"
924668625730134016,2017-10-29 16:05:54,Strongly condemn Noor Zaman’s murder in Lakki Marwat today. My condolences &amp; prayers to the family. His killers must be apprehended quickly
924519549403303936,2017-10-29 06:13:31,Uzair Baloch exposes Zardari mafia. PTI not doing politics but a Jihad against mafias that control Pakistan https://t.co/WvfGtlur2l
924259239094308864,2017-10-28 12:59:09,"Mianwali, as always, has never disappointed me. Today we had a massive crowd, full of passion. Thank you Mianwali. https://t.co/YKAXkrrKEV"
923889347581153281,2017-10-27 12:29:20,"Massive Dir crowd today confirms build up of biggest tsunami which will sweep all status quo parties, led by crooks… https://t.co/t1vWSyTsWS"
923836956659810306,2017-10-27 09:01:09,Strongly condemn violence against journalists and the attack on Ahmed Noorani.
923593811732979712,2017-10-26 16:54:58,"This success is a direct vote of confidence on performance of KP's PTI govt &amp; not the doling out of ""dev"" funds PML… https://t.co/KRW6EEYXFx"
923592383996063751,2017-10-26 16:49:18,Congratulations to PTI's victorious Arbab Amir in NA 4 and to the PTI Peshawar team. This was a victory against combined opposition forces
922143839992909824,2017-10-22 16:53:18,"But also, &amp; even more shameful, having doors of Lal Shahbaz Qalandar's shrine closed when we went to pay our respec… https://t.co/3F0HqwJUbc"
922142823452958721,2017-10-22 16:49:16,The oppression &amp; fascism of Zardari and his cohorts was evident not only in their denying us permission to hold jalsa in the city
922142238523772929,2017-10-22 16:46:56,After Sehwan I am convinced Sindh is ready for change; if free and fair elecs are held PTI will form the next govt… https://t.co/wozUSf1rl2
922141115402407938,2017-10-22 16:42:29,I want to thank the people of Sehwan who overcame many obstacles to come and show support for PTI today. https://t.co/OHq669bMyj
921441029194166278,2017-10-20 18:20:35,Happy 100th B'day wishes for our Aitchison College teacher Major Langlands. Unfortunately I wont be able to make it… https://t.co/ENnmB3DtfX
921047997898743808,2017-10-19 16:18:49,He is Ahmed Rabbani a poor taxi driver from Karachi. We cannot remain silent on his plight. https://t.co/1zszP2LV5X
921046715729358849,2017-10-19 16:13:43,My article on a Pakistani's plight in  Guantanamo prison https://t.co/A4F0E4Pm6h
920897624521265153,2017-10-19 06:21:17,Shameful how a failing govt is crippling its citizens with rising debt burden &amp; spiralling prices simply to protect… https://t.co/DcP9HVBaBL
920896931299291136,2017-10-19 06:18:32,Burden of this passed on every yr to ordinary citizens as revenue shortfall looms. So govt has now raised import du… https://t.co/uobPITzZIp
920896088965636096,2017-10-19 06:15:11,PMLN govt continues to protect tax evaders &amp; money launderers ($10bn a yr laundered from Pak) leading to  spiralling debt &amp; econ crisis
920733720457424897,2017-10-18 19:30:00,Wishing our Hindu citizens a Happy Diwali
920623840333529088,2017-10-18 12:13:22,And I did it through regular banking channels. All docs are with SC unlike NS who only had fraudulent Qatari letter… https://t.co/8fT3WFrIcH
920623469301325824,2017-10-18 12:11:54,"Shameful: MSR's Geo/Jang gp falsely trying to equate NS's Rs300bn money laundering with legit, hard-earned cricket… https://t.co/YlT80tQLP6"
920621842439770112,2017-10-18 12:05:26,Overseas Pak remit $20bn hard earned money yearly to country which is sinking in debt bec of corrupt mafia's $10bn yearly money laundering
920538526747422720,2017-10-18 06:34:22,Strongly condemn terror attack in Quetta causing loss of precious lives. We have to resolutely counter the terrorist threat holistically.
920241967044419584,2017-10-17 10:55:56,Another achievement of  KP govt in health sector: PTI delivering on its commitments. https://t.co/UnwXVM5CWA
920205151008444416,2017-10-17 08:29:39,Condemnable: taxing the weak to enrich the powerful. https://t.co/s13sr8gTlZ
920169950341468160,2017-10-17 06:09:46,We can all contribute to a better environment: view from my house before &amp; after plantation took effect https://t.co/DcT0RFYkkM
919871300025376769,2017-10-16 10:23:02,"On a lighter note, a friend called to say if he had been in my place, his ex-wife wld have taken money from Sharifs &amp; put him in jail!"
919869935366615040,2017-10-16 10:17:37,My record of £672k now before SC in entirety. Meanwhile NS not provided any doc beyond fraud Qatari letter of Rs 30… https://t.co/ZV2qu6hRyZ
919868903035195392,2017-10-16 10:13:31,"Thx to God Almighty &amp; Jemima's record keeping, today I submitted all additional money trail docs asked for by SC."
919865773165895680,2017-10-16 10:01:05,"By the grace of God &amp; thx to Jemima's record keeping, today I submitted all the additional money trail record demanded off me by the SC."
918846445234610177,2017-10-13 14:30:38,Ahsan Iqbal's latest statement is part of the DawnLeaks agenda to malign the armed forces of Pakistan &amp; appease hos… https://t.co/XjU1oDEVW2
918846015343652864,2017-10-13 14:28:56,The Sharif-Dar combine has crushed the nation under debt for generations to come. The Sharif darbaris cannot fool t… https://t.co/ZbYTnvrYO5
918845591664414720,2017-10-13 14:27:15,Ahsan Iqbal's unwarranted attack on ISPR is absurd bec the dismal state of Pak's economy is known to the world.
918827423713628161,2017-10-13 13:15:03,The masses are ready to take to the streets if the judiciary is threatened again by darbaris trying to save the Sha… https://t.co/04pi2Dlbnn
918820135275761669,2017-10-13 12:46:05,Record crowd at Peshawar jalsa today. Everyone present roared their support for judiciary &amp; against Sharifs' &amp; thei… https://t.co/SyYomQ9J38
918743458633977857,2017-10-13 07:41:24,The destruction of state institutions means the disintegration of the state. This is the Sharif agenda which nation… https://t.co/ZbxFPeaqGE
918742299747782656,2017-10-13 07:36:48,Clearly PMLN is hell-bent on destroying all state institutions. Ppl of Pak must be prepared to stand up &amp; defend ou… https://t.co/ta5GOR6nsE
918741374681403392,2017-10-13 07:33:07,Now we know the drama of darbari Ahsan Iqbal over the Rangers' presence in NAB court - it was to leave the NAB judg… https://t.co/PcM3wmanFF
918740505793630208,2017-10-13 07:29:40,Today the PMLN attacked Pak's judiciary for the second time - today it was to protect the over Rs 30 b Sharifs' loot stashed abroad.
918391427117314048,2017-10-12 08:22:33,This law intended specifically to seize illegal wealth from foreign bureaucrats and politicians who have stashed it… https://t.co/xpBkDPCYVd
918391080667766784,2017-10-12 08:21:11,Sharifs may have to explain their stashed wealth before UK authorities also viz UK's Criminal Finances Act 2017. https://t.co/uGy3e8bhJO
917793380519866369,2017-10-10 16:46:08,Two pics of plantations on barren D I Khan land: one in 2016 and second in 2017 https://t.co/GzbzuoBqIu
917756070797479936,2017-10-10 14:17:53,"However, even more satisfying was seeing the happiness of the local people over this transformation of their barren… https://t.co/1tBh8tcxkS"
917755630345228288,2017-10-10 14:16:08,"Seeing D I Khan's barren, waterlogged land transformed by #BillionTreeTsunami has been very fulfilling as I am a co… https://t.co/uyjhhtjlSK"
916991583542751232,2017-10-08 11:40:05,Buner jalsa today: Our ppl ready to protect Pak democracy from the kleptocrats trying to derail it to protect their… https://t.co/PZFFyMTcac
916699590694457344,2017-10-07 16:19:48,Corruption is the biggest threat to Pakistan's future. https://t.co/aS1paYMvMl
915966825950740481,2017-10-05 15:48:03,Strongly condemn threats issued by DG internal IB to Arshad Sharif at PEMRA hearing. Scratch the surface &amp; PMLN's fascist creed shows up
915589352708886529,2017-10-04 14:48:07,When the corrupt are feted it is qiamat ki nishani. https://t.co/keGn2YVie3
915588423305633793,2017-10-04 14:44:25,PMLN electing NS as their party head is akin to a takeover of the asylum by lunatics!
915587827206885377,2017-10-04 14:42:03,As ironic as it is absurd: Zardari &amp; sis Faryal suing me for defamation because I spoke out abt their well-known corruption!
914892938395766789,2017-10-02 16:40:49,Today a mockery was made of the Constitution simply to rescue Nawaz Sharif politically. But nation will not allow c… https://t.co/EoiXExNJx1
914892410697736193,2017-10-02 16:38:43,Black day today for Pak democracy with passage of Elec Reforms Bill which allows a disqualified person  to head a political party.
914522839868411905,2017-10-01 16:10:10,As Ashura ends we must commit to remembering the supreme sacrifice of Imam Hussain AS for Islam &amp; it's teaching of righteousness &amp; justice
914382358861639680,2017-10-01 06:51:57,"A callous PMLN govt has once again burdened the ppl of Pak with fuel price hikes, to cover their own incompetence &amp; corruption"
913717900317511680,2017-09-29 10:51:38,Absurd &amp; amusing since Maulana Fazlur Rehman of JUIF has accused PTI of being Jewish lobby! https://t.co/GddOfTI6oj
913717107048767488,2017-09-29 10:48:29,Confusion btwn PMLN &amp; it's ally JUIF: Kh Asif tells Asia Society in US diff between PMLN &amp; PTI is N is liberal &amp; PTI allied to religious gps
913393240891682816,2017-09-28 13:21:33,Naya KP: the change https://t.co/Dor7tznRpn
913350941868470273,2017-09-28 10:33:28,It is evident if we rid ourselves of corruption &amp; cronyism - 2 hallmarks of Sharif rule - Pak will be solvent &amp; dev… https://t.co/NuauZZSG1f
913350436299710464,2017-09-28 10:31:27,"With corrupt Sharif and Dar at helm of affairs, Pak being made insolvent while their personal coffers being filled. https://t.co/WXfIY3hGIy"
913350100352733184,2017-09-28 10:30:07,World Bank says Rs 3.2 trillion loss yearly to Pak. Such levels of Corruption more than tax-generated revenue. https://t.co/2NEQ8gQ3vX
913284081592537089,2017-09-28 06:07:47,"Kh Asif's comments of ownership of militant gps coming from a Foreign Min undermining Pak security. With such a FM,… https://t.co/pywuEVi1Dr"
913283372868304896,2017-09-28 06:04:58,Their continuous targeting of our armed forces continues today as part of this Indo-US appeasement. No concern for… https://t.co/xK0MRJru91
913282792158580738,2017-09-28 06:02:40,Sharifs &amp; their cronies desperate to appease Indo-US lobby &amp; interests as their loot/properties all stashed away in… https://t.co/MXhWmDfZQH
913282295280406528,2017-09-28 06:00:41,Now evident that DawnLeaks was a deliberate attempt by PMLN to target Pak mly at a time when it is fighting our ene… https://t.co/1cuG3gmFEG
912550268432240641,2017-09-26 05:31:53,Sends wrong message to society: that the powerful can break laws with impunity. Clearly this is mafia rule not demo… https://t.co/fKD7IGBDS2
912549958544449536,2017-09-26 05:30:39,"The official protocol given to a disgraced, disqualified PM, also accused of tax evasion, forgery, money laundering etc, is shameful."
912549281814515712,2017-09-26 05:27:57,This is how state institutions are destroyed by a mafia breaking all laws and democratic norms https://t.co/Dd6SH9BW0i
912548790757937152,2017-09-26 05:26:00,Equally alarming is the IB's role in abetting NS by creating grounds for blackmailing his MNAs into falling in line. https://t.co/DFKotth5VD
912547913670250496,2017-09-26 05:22:31,IB head is an official of the State paid for by taxpayers. His duty is to the state not to the Sharif family. https://t.co/c0eFLa5ORk
912547405014368256,2017-09-26 05:20:30,IB head must resign immediately. What was he doing visiting a disqualified PM in London over 4 days at taxpayer expense?
912008277109739520,2017-09-24 17:38:12,"Congratulations to KP govt for establishing the first ever Pak Cadet College for girls, in Mardan. https://t.co/QMZGpf2IjY"
911615228852482050,2017-09-23 15:36:22,The joy on the father's face has made me more determined than ever to fight a system that enriches a few while impo… https://t.co/tZXJKNnl4W
911287070441779200,2017-09-22 17:52:23,Where there is a will there is a way! https://t.co/S4jgZXD29R
911252774343647232,2017-09-22 15:36:06,"&amp; PMLN doing this simply to resuscitate NS politically after he has been found guilty of corruption, money launderi… https://t.co/PZFN68EmnW"
911251417989566464,2017-09-22 15:30:42,PMLN destroying last vestiges of ethics &amp; morality by removing clause in Elec Reform Bill preventing a disqualified person heading a party
911092037721534465,2017-09-22 04:57:23,"Mystic poet Baba Farid's 773rd Urs today: He preached peace &amp; tolerance
??? ????? ??? ???? ??? ???? ????
?? ?? ????? ?? ???? ?? ?? ?? ????"
910903298923909120,2017-09-21 16:27:24,Lidhar and Dina today. People showed amazing response on Sharifs fall and in support of SC. https://t.co/ZgzlPG8Ywa
910760002637492224,2017-09-21 06:58:00,"So happy abt the T20 match being played in Miranshah. After so much violence, the ppl of North Waziristan are being provided entertainment"
910526417313648641,2017-09-20 15:29:49,In no civilised society could a man cling so shamelessly to power. This shows a complete collapse of ethics  morali… https://t.co/BiqmlrFg3w
910525957441761280,2017-09-20 15:27:59,Shocking how Finance Min Dar refuses to resign in the wake of his arrest warrant &amp; despite being investigated for money laundering &amp; fraud
910229780326469632,2017-09-19 19:51:05,Our very own Imran Ismail captures the people's passion in Hyderabad https://t.co/zmmmJ4PGVG
910214537089036288,2017-09-19 18:50:31,I want to thank the people of Hyderabad for coming out in such huge numbers today https://t.co/1LlWipurVH
909482461058469889,2017-09-17 18:21:30,"Want to thank all our PTI workers, esp our women, who worked tirelessly in the election campaign. https://t.co/bfMNZGtbtq"
909482003015307265,2017-09-17 18:19:41,Applaud courage &amp; determination with which Dr Yasmin Rashid fought NA120 elec against  fed-prov-LG govt-backed PMLN with their massive funds
909305821615591424,2017-09-17 06:39:36,NA 120 elec today will decide future course of our nation &amp; our coming generations. Every voter must come out &amp; vote #BallayPeThappa
909097223769739264,2017-09-16 16:50:43,Record-breaking crowd in Khushaab today and each one came to show support for the judiciary against a corrupt mafia https://t.co/VRv5N4IRjV
908621051067863040,2017-09-15 09:18:34,"Congratulations to Azam Khan on becoming Chief Secretary KP. He has 4 outstanding qualities: courage, competence, integrity &amp; passion."
908227899148443648,2017-09-14 07:16:19,Never be afraid of failure in the fight for justice. https://t.co/CSEOR9FpSg
908212827890036742,2017-09-14 06:16:26,"#BillionTreeTsunami throws a ""Green Gauntlet"" to all political parties https://t.co/u4JLM2MI89"
906108688372563968,2017-09-08 10:55:20,My open letter to UN SG asking him to act on Rohingya Muslims' plight. https://t.co/fqkNL03LWp
906080052298821632,2017-09-08 09:01:33,UK's Labour Leader Corbyn has earned Pakistanis respect by his principled statement: https://t.co/fNiXdPFB5S
906032038947340288,2017-09-08 05:50:46,Nawaz Sharif &amp; Ishaq Dar have acted as economic hitmen: taken debts Pakistan can't repay &amp; compromised our sovereig… https://t.co/kOfI1W3CDt
906030948273143811,2017-09-08 05:46:25,Nawaz Sharif &amp; Ishaq Dar have acted as economic hitmen: taken debts Pakistan can't repay &amp; compromised our sovereig… https://t.co/dTmZXZCZPq
905807410954199043,2017-09-07 14:58:10,7. State-owned enterprises are in shambles and state-owned enterprise debt has doubled during the NS regime's tenur… https://t.co/kxmzkNtsgU
905806961232498697,2017-09-07 14:56:23,6. We are witnessing rising inequality bec of a sharp increase in tax burden on the middle class &amp; poor &amp; a  reduce… https://t.co/1LNcOcrI0d
905805721241092097,2017-09-07 14:51:27,5. The worst agriculture performance ever. Farmers' suffering has increased manifold under this govt. https://t.co/Jjv6WT33Ip
905805122302861312,2017-09-07 14:49:04,"Also, circular debt is back over Rs.400b &amp; at current pace will cross the Rs.480b level PMLN had inherited &amp; paid o… https://t.co/6oucCFg5Vz"
905804068228128768,2017-09-07 14:44:53,4. Power shortfall has increased since PMLN came to power. Also we have the most expensive electricity and gas in t… https://t.co/t26epg40AN
905803126824996864,2017-09-07 14:41:09,"3. Investment at lowest ever level, both foreign and local &amp; this is despite CPEC. https://t.co/wgvFMVKTOI"
905802558119317505,2017-09-07 14:38:53,More debt added now than in AZ's time. 2. Worst export collapse in our history; worst ever trade deficits and worst… https://t.co/TguRg47zLp
905801861936107520,2017-09-07 14:36:07,Shocking how Nawaz Sharif has left the new PM with a bankrupt economy: 1. Has left behind record increase in total debt &amp; foreign debt.
905295854596128772,2017-09-06 05:05:25,It is the success of a holistic ppl-centric approach by PTI's govt that has led to reduction of poverty in KP. https://t.co/dp5MHcSRx5
905295420913586179,2017-09-06 05:03:42,A professional depoliticised police force which has created a more secure environment &amp; has drawn investment into K… https://t.co/dQx06YCwFe
905294840199606276,2017-09-06 05:01:24,Micro-hydel projects in remote areas providing cheap elec for local ppl; environment-friendly #BillionTreeTsunami p… https://t.co/hwg7e7Fbwy
905293790193352704,2017-09-06 04:57:13,Better public schools &amp; reformed health service in govt hospitals; health cards for the poor; https://t.co/Jsu0aNuzL7
905293209684860928,2017-09-06 04:54:55,PTI's success in KP's poverty reduction was the result of many initiatives: merit based recruitment created a level… https://t.co/Ow94vAq0ZG
905292327090049025,2017-09-06 04:51:24,Remarkable achievement of PTI - first time in govt. Our priority was poverty alleviation not simply showcase mega r… https://t.co/6Mo5LRaZzb
904356283477839872,2017-09-03 14:51:54,Shameful acceptance of Rohingyas genocide by Aung San Suu Kyi https://t.co/XuBVSoWLwS
903893905191694341,2017-09-02 08:14:35,Eid Mubarak to Muslim everywhere. This is a day to celebrate the spirit of sacrifice that we commemorate.
903344327124033536,2017-08-31 19:50:45,Can't the Sharifs do anything with honesty? Even the lawyers Convention was bolstered by police wearing black coats… https://t.co/wrxg3vSObG
903247628791668737,2017-08-31 13:26:30,Shahzad stood with me against drone strikes in Pakistan; vote for him to win &amp; continue his struggle https://t.co/4zRgjYmqLF
903235826603188224,2017-08-31 12:39:37,"Shameful how the world, esp the Muslim World, is ignoring the plight of the Rohingyas: https://t.co/7S0Edpj7WX"
902904188958633985,2017-08-30 14:41:48,"Now NAB must investigate all Metro &amp; Orange Train projects, which were clearly not undertaken for the public good b… https://t.co/OpxgX9tYT0"
902903570575626240,2017-08-30 14:39:21,"Like the Panama Papers exposed NS &amp; family's corruption, the Chinese have  exposed Multan Metro fraud directly implicating Shahbaz Sharif"
902595438108389376,2017-08-29 18:14:56,Wishing Justice Khosa a speedy recovery and good health.
902209224335347712,2017-08-28 16:40:15,PTI's versatile Imran Ismail: A star is born! https://t.co/6EFP8v2E6Z
